,score,extract,type
243,0.7846153846153846,sibelius,other
244,0.9285714285714286,bach,same
245,0.6051282051282051,bach,other
246,0.896551724137931,mozart,same
247,0.7577319587628866,mozart,other
248,0.9310344827586207,glazounov,same
249,0.7422680412371134,glazounov,other
250,0.6756756756756757,free,same
251,0.6774193548387096,free,other
252,0.8837209302325582,gamme,same
253,0.7888888888888889,gamme,other
254,0.7892376681614349,Mix,same
255,,Mix,other
256,0.896551724137931,tchai,same
257,0.8092783505154639,tchai,other
258,0.9285714285714286,sibelius,same
259,0.5282051282051282,sibelius,other
260,0.8571428571428571,bach,same
261,0.6820512820512821,bach,other
262,0.7586206896551724,mozart,same
263,0.7164948453608248,mozart,other
264,0.9655172413793104,glazounov,same
265,0.7731958762886598,glazounov,other
266,0.5675675675675675,free,same
267,0.7526881720430108,free,other
268,0.9302325581395349,gamme,same
269,0.7944444444444444,gamme,other
270,0.8251121076233184,Mix,same
271,,Mix,other
272,0.9655172413793104,tchai,same
273,0.711340206185567,tchai,other
274,0.8928571428571429,sibelius,same
275,0.5282051282051282,sibelius,other
276,0.7857142857142857,bach,same
277,0.6666666666666666,bach,other
278,0.8275862068965517,mozart,same
279,0.7628865979381443,mozart,other
280,0.8275862068965517,glazounov,same
281,0.654639175257732,glazounov,other
282,0.8108108108108109,free,same
283,0.7096774193548387,free,other
284,0.9534883720930233,gamme,same
285,0.8,gamme,other
286,0.7982062780269058,Mix,same
287,,Mix,other
288,0.8620689655172413,tchai,same
289,0.6443298969072165,tchai,other
290,0.7777777777777778,sibelius,same
291,0.4846938775510204,sibelius,other
292,0.8928571428571429,bach,same
293,0.5948717948717949,bach,other
294,0.8275862068965517,mozart,same
295,0.7268041237113402,mozart,other
296,1.0,glazounov,same
297,0.5721649484536082,glazounov,other
298,0.5675675675675675,free,same
299,0.7096774193548387,free,other
300,0.9545454545454546,gamme,same
301,0.7374301675977654,gamme,other
302,0.8251121076233184,Mix,same
303,,Mix,other
304,0.896551724137931,tchai,same
305,0.7783505154639175,tchai,other
306,0.7857142857142857,sibelius,same
307,0.6410256410256411,sibelius,other
308,1.0,bach,same
309,0.6820512820512821,bach,other
310,0.8275862068965517,mozart,same
311,0.5257731958762887,mozart,other
312,0.8275862068965517,glazounov,same
313,0.6237113402061856,glazounov,other
314,0.972972972972973,free,same
315,0.7903225806451613,free,other
316,0.9069767441860465,gamme,same
317,0.8111111111111111,gamme,other
318,0.8430493273542601,Mix,same
319,,Mix,other
320,0.9310344827586207,tchai,same
321,0.7216494845360825,tchai,other
322,0.9259259259259259,sibelius,same
323,0.6938775510204082,sibelius,other
324,0.9285714285714286,bach,same
325,0.6205128205128205,bach,other
326,0.7241379310344828,mozart,same
327,0.5979381443298969,mozart,other
328,0.8620689655172413,glazounov,same
329,0.7938144329896907,glazounov,other
330,0.6756756756756757,free,same
331,0.6827956989247311,free,other
332,0.8636363636363636,gamme,same
333,0.7039106145251397,gamme,other
334,0.8295964125560538,Mix,same
335,,Mix,other
336,0.896551724137931,tchai,same
337,0.7783505154639175,tchai,other
338,0.9642857142857143,sibelius,same
339,0.6358974358974359,sibelius,other
340,0.9285714285714286,bach,same
341,0.7230769230769231,bach,other
342,0.896551724137931,mozart,same
343,0.6958762886597938,mozart,other
344,0.9655172413793104,glazounov,same
345,0.6907216494845361,glazounov,other
346,0.7567567567567568,free,same
347,0.6827956989247311,free,other
348,0.8837209302325582,gamme,same
349,0.7722222222222223,gamme,other
350,0.8071748878923767,Mix,same
351,,Mix,other
352,0.9655172413793104,tchai,same
353,0.634020618556701,tchai,other
354,0.8518518518518519,sibelius,same
355,0.7040816326530612,sibelius,other
356,0.9642857142857143,bach,same
357,0.7846153846153846,bach,other
358,0.7931034482758621,mozart,same
359,0.6391752577319587,mozart,other
360,0.9310344827586207,glazounov,same
361,0.7628865979381443,glazounov,other
362,0.6756756756756757,free,same
363,0.6559139784946236,free,other
364,0.8181818181818182,gamme,same
365,0.8100558659217877,gamme,other
366,0.8026905829596412,Mix,same
367,,Mix,other
368,0.9310344827586207,tchai,same
369,0.6237113402061856,tchai,other
370,0.9285714285714286,sibelius,same
371,0.5692307692307692,sibelius,other
372,0.9642857142857143,bach,same
373,0.6820512820512821,bach,other
374,0.7586206896551724,mozart,same
375,0.6907216494845361,mozart,other
376,0.9310344827586207,glazounov,same
377,0.6752577319587629,glazounov,other
378,0.7027027027027027,free,same
379,0.7204301075268817,free,other
380,0.8604651162790697,gamme,same
381,0.7555555555555555,gamme,other
382,0.7892376681614349,Mix,same
383,,Mix,other
384,0.9655172413793104,tchai,same
385,0.7474226804123711,tchai,other
386,0.9285714285714286,sibelius,same
387,0.6410256410256411,sibelius,other
388,0.9285714285714286,bach,same
389,0.6512820512820513,bach,other
390,0.7586206896551724,mozart,same
391,0.7835051546391752,mozart,other
392,0.6896551724137931,glazounov,same
393,0.5721649484536082,glazounov,other
394,0.7297297297297297,free,same
395,0.7365591397849462,free,other
396,0.8837209302325582,gamme,same
397,0.7222222222222222,gamme,other
398,0.8565022421524664,Mix,same
399,,Mix,other
400,0.8275862068965517,tchai,same
401,0.6082474226804123,tchai,other
